category,text
sport,barbarians 19-47 new zealand new zealand proved too strong for an australian-dominated barbarians to round off their unbeaten northern hemisphere tour with an easy win.  rico gear ran in two of the all blacks  seven tries in what was a predominantly second-string line-up. the baa-baas did threaten  scoring tries through albert van den bergh  xavier rush and andrea lo cicero  but never looked like winning. all black aaron mauger was in good form with the boot  adding 10 points. the all blacks featured only two of the side which started last weekend s emphatic test victory over france in paris  while the baa-baas had nine wallabies in their starting line-up. and new zealand coach graham henry said:  it was a quality performance against a very experienced side and a number of young guys came through very well.  they learnt from the older players and this was a way of thanking the guys who had been mentoring them on the tour.  but the running rugby the crowd had been hoping for rarely materialised. marty holah got the all blacks onslaught under way with his fifth-minute try before rush hit back moments later. but new zealand went ahead once more as gear made use of the space vacated by a temporarily injured chris latham to slide in. ma a nonu then found his way through the barbarians defence to give his side a 19-7 half-time lead. the hosts failed to ignite in the second half and  the moment gear scored his second just after the interval  there was only ever going to be one winner. lo cicero  the sole european for the barbarians  bundled over for a try to briefly curtail the deficit. but the match was blighted by controversy moments later when justin marshall  was felled with a high tackle by jimmy cowan. referee andy turner waved play on and casey laulala coasted in for his side s fifth try. jermoe keino and piri weepu both added tries to the all blacks  tally before the final whistle  while van den bergh gained some consolation for the baa-baas. after the match  barbarians coach bob dwyer warned that south african flanker schalk burger needed a proper off-season break to maintain his standards. burger  21  was recently crowned player of the year by both his peers and the international rugby board  but has struggled for form in recent weeks.  it s his first year at that level and he was phenomenal up until the end of the southern hemisphere season.  i don t think he s played anywhere near that level on tour   he said.
business,us bank boss hails  genius  smith us federal reserve chairman alan greenspan has given a speech at a scottish church in honour of the pioneering economist  adam smith.  he delivered the 14th adam smith lecture in kirkcaldy  fife. the adam smith lecture celebrates the author of 1776 s wealth of nations  which became a bible of capitalism. dr greenspan was invited by chancellor gordon brown  whose minister father john used to preach at the st bryce kirk church. mr brown introduced dr greenspan to the 400 invited guests as the  the world s greatest economist . dr greenspan  79  who has been in the uk to attend the g7 meeting in london  said the world could never repay the debt of gratitude it owed to smith  whose genius he compared to that of mozart.  he said the philosopher was a  towering contributor to the modern world .  kirkcaldy  the birthplace in 1723 of adam smith and  by extension  of modern economics  is also of course  where your chancellor was reared.  i am led to ponder to what extent the chancellor s renowned economic and financial skills are the result of exposure to the subliminal intellect-enhancing emanation in this area.  he continued:  smith reached far beyond the insights of his predecessors to frame a global view of how market economics  just then emerging  worked.  in so doing he supported changes in societal organisation that were to measurably enhance standards of living.   dr greenspan said smith s revolutionary philosophy on human self-interest  laissez-faire economics and competition had been a force for good in the world.  the incredible insights of a handful of intellectuals of the enlightenment - especially with smith toiling in the environs of kirkcaldy - created the modern vision of people free to choose and to act according to their individual self-interest   he said. following his lecture  dr greenspan - who received an honorary knighthood from the queen at balmoral in 2002 - was awarded an honorary fellowship of the royal society of edinburgh. he later opened an exhibition dedicated to smith in the atrium of fife college of further and higher education. joyce johnston  principal of the college  said:  it is very fitting that the world s premier economist delivered this lecture in tribute to the world s first economist.  dr greenspan - who became chairman of the federal reserve for an unprecedented fifth term in june 2004 - will step down in january next year. he has served under presidents george w bush  bill clinton  george bush  and ronald reagan. he was also chairman of the council of economic advisors to gerald ford.
sport,mcilroy continues winning streak james mcilroy stormed to his second international victory in less than a week  claiming the men s 800m at the teag indoor meeting in erfurt.  the northern ireland runner set a new personal best of one minute  46.68 seconds - a time good enough to qualify for the european indoor championships.  i m qualified now and that s what matters most   said the 28-year-old. mcilroy is now hoping to gain a late entry into sunday s international indoor meeting in leipzig. the northern irishman is hoping manager ricky simms can swing it for him to compete after he initially withdrew after contracting a cold. after three successive wins over the past fortnight  mcilroy is brimming with confidence.  i ve been waiting over six years for this to happen and now i m certain my career has turned the corner.  on friday  mcilroy delivered an impressive run despite suffering from his bad cold. the aaa indoor and outdoor champion accelerated away from the field in the final 300m  beating german wolfram mulle by 0.90 seconds. mcilroy set a world-leading mark for 1 000m at the sparkassen cup in stuttgart last weekend. and his time in erfurt makes him third fastest over 800m in the world this year.
entertainment,box office blow for alexander director oliver stone s historical epic alexander has failed in its bid to conquer the box office  entering the us film charts at number six.  the swords and sandals blockbuster  rumoured to have cost more than $150m (£79m) to make  earned just $13.5 (£7m) over three days at the us box office. due to the thanksgiving holiday  the film opened on wednesday  bringing its total takings to $21.6m (£11.4m). top of the box office for a second week was action movie national treasure. the family adventure  starring nicolas cage  took $33.1m (£17.m)  ahead of animated comedy the incredibles - now in its fourth week in the charts - which took $24.1m (£12.7m).  last week oliver stone s film met with scathing reviews from us critics. the film stars irish actor colin farrell as one of history s most celebrated leaders - a relentless and arrogant warrior who conquered much of the known world by the age of 25. in particular  its portrayal of alexander as a bisexual has met with a hostile reception and the threat of legal action from greek lawyers.  though the battles have the blood-and-sinew bravado you expect from oliver stone  this three-hour buttnumbathon is hamstrung by a hectoring grandiosity   wrote one reviewer in rolling stone magazine. others poured scorn on farrell s bleached hair and angelina jolie s unwieldy accent  which variety called  a combination of mata hari and count dracula  . but novelist gore vidal defended the film  saying it was  barrier-breaking  for its frank depiction of bisexuality.  in sweden last thursday  to pick up a lifetime achievement award at the stockholm international film festival  stone expressed the hope that alexander might be better appreciated in europe.  one of the reasons i am being honoured here is europeans tend to see me a little differently than they do in the us   said the director behind jfk  platoon and born on the fourth of july. he added alexander  was not an easy movie  but then i ve never made easy movies .
sport,candela completes bolton switch bolton boss sam allardyce has signed roma defender vincent candela on a five-month deal.  the 31-year-old former france international gave his last press conference as a roma player on monday  anouncing his move to bolton.  i have signed a five-month contract with bolton   said candela  who will travel to england on tuesday.  in june i will decide whether to continue to play for bolton or retire from professional football.  allardyce hopes candela s arrival will relieve bolton s injury crisis after defender nicky hunt limped out injured during oldham s 1-0 win against oldham in the fa cup on sunday.  in light of what has happened to nicky hunt  with his injury  it might be a blessing in disguise that we can bring in a highly-experienced full-back to help with our injuries at the back   allardyce said.  he has an outstanding pedigree in the game and has won honours at the highest level including the world cup in 1998.  he has not played regular football this year but is eager to impress in the premiership.  he can play in any position at the back and despite him being predominately right-footed he has played the majority of his career at left-back.  candela  who was a member of the roma side that won the title in 2001  has made only seven league appearances this season for luigi del neri s side.
entertainment,totp turns to elvis impersonator top of the pops has turned to the star of elvis presley musical jailhouse rock after the late rock legend scooped the uk s 1 000th number one single.  mario kombou  who plays the presley role on stage  will sing one night on friday s bbc one show as producers are unable to use presley video footage. it is his second number one in a row. the show used presley photos last week. presley will feature in the charts for several more months as all 18 of his original uk chart-toppers are reissued.  a top of the pops spokesperson said:  it s a very special number one as it s the uk s 1 000th.  we wanted to pay tribute to elvis in the best way we knew how  so we thought getting a professional would be the best way for top of the pops to do that.  kombou is likely to appear on the show again next week as the next presley re-release  a fool such as i  is on course to give him his third number one in three weeks. kombou plays vince everett in jailhouse rock - the same role presley played in the 1957 film of the same name.
tech,cable offers video-on-demand cable firms ntl and telewest have both launched video-on-demand services as the battle between satellite and cable tv heats up.  movies from sony pictures  walt disney  touchstone  miramax  columbia and buena vista will be among those on offer. the service is similar to sky plus  as users can pause  fast forward and rewind content  but they cannot store programmes on their set top box - yet. it could sound the death knell for some tv channels  telewest predicts.  it allows us to demonstrate a clear competitive advantage over sky for the first time in many years   said telewest chief executive eric tveter.   video-on-demand will offer a deeper range of content than currently exists on tv. there will be less compromising around the tv schedule and some of the less popular channels may go by the wayside   said philip snalune  director of products at telewest. telewest customers in bristol and ntl viewers in glasgow will be the first to test the new service  which sees a raft of movies on offer for 24 hour rental. during the year  the service will be extended to all cable regions. films will range in price from £1 or £2 for archived movies to £3.50 for current releases. new releases initially on offer will include 50 first dates  kill bill: volume 2  gothika and the station agent. in addition  ntl is offering children s programmes  adult content  music video and concerts. telewest will launch similar services later in the year. ntl is also offering viewers the chance to catch up with programmes they have missed. its pick of the week service will offer a selection of bbc programmes from the previous seven days such as eastenders  casualty  top gear and antiques roadshow. the bbc is trialling a similar service  offering broadband users the chance to watch programmes already broadcast on their pc. for telewest it is the beginning of a £20m investment in tv-on-demand which will also see the launch of a personal video recorder (pvr). pvr has been a big success for sky because it gives customers control over programmes. satellite customers without pvr cannot pause  rewind or fast forward their programmes.  with both services on offer from telewest  mr tveter is confident the cable firm can dent not just the viewing figures for terrestrial tv but also gain a huge competitive advantage over sky.   we offer the best of both worlds and most households have an interest in having both video-on-demand and pvr   he said. video rental stores may also have to watch their back.  video-on-demand is better than having a video-store in your living room and is more convenient   he said. ntl said it had not ruled out the possibility of offering a pvr but for the moment is concentrating on video-on-demand.  pvr is a recording mechanism whereas what we are offering is truly on demand   said a spokesman for the company. video-on-demand has the added advantage of not requiring a separate set-top box or extra remote controls  he added. adam thomas  an analyst at research firm informa media believes the time is ripe for video-on-demand to flourish.  while sky will remain the dominant force in uk pay tv for some time to come  ntl and telewest seem well placed to successfully ride this second wave of vod enthusiasm and  if marketed correctly  this could help them eat into sky s lead   he said.
business,saab to build cadillacs in sweden general motors  the world s largest car maker  has confirmed that it will build a new medium-sized cadillac bls at its loss-making saab factory in sweden.  the car  unveiled at the geneva motor show  is intended to compete in the medium-sized luxury car market. it will not be sold in the us  said gm europe president carl-peter forster. as part of its efforts to make the us marque appeal to european drivers  the car will be the first cadillac with a diesel engine.  gm s announcement should go some way to allay fears of the saab factory s closure. the factory in trollhaettan has been at the centre of rumours about gm s planned severe cutbacks in its troubled european operations. but the group s new commitment to the swedish factory may not be welcomed by the group s opel workers in ruesselsheim  germany. they may now have to face a larger proportion of gm s cuts.  neither will the announcement be seen as unalloyed good news in sweden  since it reflects saab s failure to make significant inroads into the lucrative european luxury car market. for years  saab has consistently said it is competing head-on with bmw  mercedes and jaguar. the segment s leaders do not agree.  gm s plans to build the american marque in sweden is part of its efforts to push it as an alternative luxury brand for european drivers. in the us  it has long been established as an upmarket brand - even the presidential limousine carries the badge. yet it could prove tough for cadillac to steal market share from the majors in europe. other luxury car makers  most notably the toyota subsidiary lexus  have enjoyed tremendous success in the us without managing to make significant inroads in europe. there  german marques mercedes benz and bmw have retained their stranglehold on the luxury market.  bringing cadillac production to sweden should help introduce desperately-needed scale to the saab factory  which currently produces fewer than 130 000 cars per year. that is about half of what major car makers consider sufficient numbers for profitable operations  and saab is losing money fast - albeit with losses halved in 2004 to $200m (£104m; 151m euros) from $500m the previous year. beyond the 12 000 job cuts announced last year at its european operations  gm is reducing expenditure by building saabs  opels - badged as vauxhalls in the uk - and now cadillacs on the same framework  and by allowing the different brands to share parts. another way to further reduce saab s losses could be to shift some of the production of saabs to the us  a market where drivers have adopted it as an upmarket european car. doing so would remove the exposure to the weak us dollar  which is making saabs more expensive to us consumers. but not everyone in the industry agree that it would be the best way forward.  we know that in five years the us dollar will be stronger than it is today   the chief executive of a leading european car maker told bbc news. the current trend towards us production was  stupid   he said.  in a separate announcement  gm unveiled a new scheme to allow european consumers the chance to test drive its opel and vauxhall models. it is to deploy a fleet of 35 000 test cars across 40 countries  inviting potential buyers to try out a vehicle for 24-hours. it follows a similar initiative by gm in the us. gm said it wanted to change  customers  perceptions  about opel and vauxhall cars  showing them that the quality had improved in recent years.
sport,dawson set for new wasps contract european champions wasps are set to offer matt dawson a new deal.  the 31-year-old world cup winning scrum-half has impressed since joining the london side from northampton this summer on a one-year contract. wasps coach warren gatland told the daily mirror:  we have not yet offered matt a new contract but we will be doing so.  i m very happy with his contribution and i think he s good enough to play for another couple of years.  dawson played a vital part in england s world cup win last year but has fallen out of favour with new coach andy robinson after missing a training session in september. however he hopes the new deal will help him regain his england place.   rugby is still my priority and there s still a burning desire within me to play the best rugby i possibly can   he said.  i know within myself  if i was given the chance i could play for england again.  i know i m fit enough  i m strong enough  i m skilful enough.
politics,howard attacks  pay later  budget tory leader michael howard has dismissed gordon brown s budget as  vote now  pay later  spending plans.  the simple fact was that under a new labour government taxes would go up after the election to plug a financial black hole  mr howard said. everyone could see the chancellor s  sweeteners   but these hid tax rises for hard working families  he said. labour s  faltering election campaign  would not be helped by the package of measures  mr howard added.  mr brown s budget was not about what was good for the country  but  all about the interests of the labour party   the tory leader said after mockingly welcoming the chancellor back to the election campaign. he went on to accuse mr brown of giving with one hand while taking away with the other. he urged the chancellor to admit he had been responsible for dragging  millions of people in to the net  to pay stamp duty and inheritance tax.  we can all see the sweeteners  but they hide the crippling tax rises for hard-working families that are inevitable if labour wins.   he also accused the government and the chancellor of running out of solutions to the problems britain faced.  their only answer is to tax  to spend and to waste - to get people to vote now and pay later.  mr brown liked to rattle off  magical balances conjured out of thin air  in a bid to convince people there was no  black hole  in the nation s finances  the tory leader said.  this dodgy government that brought us the dodgy dossier is now publishing a dodgy budget based on dodgy numbers   he said.  you now propose to borrow  over the next six years  no less than £168 billion; so much for prudence.  the chancellor s forecasts of surpluses are no better than the prime minister s forecasts of weapons of mass destruction.   mr brown s council tax rebate for pensioners was £300 less than what the tories were offering  mr howard said. there was nothing in the budget that would put more police on the streets  make hospitals cleaner or give parents and teachers the discipline and skills they wanted in schools. people would face a  clear choice  at the election  either  more waste and higher taxes under labour or lower taxes and value for money with the conservatives   he said.  that s the battleground of this election. that s what this election is going to be all about and i say bring it on   he concluded  to loud tory cheering.
